Año,temp,dew,humidity,precip,solarradiation,solarenergy,hours_of_light,Provincias,Comunidad,Superficie Plantación,Producción Total
2016,14.45191256830601,10.730601092896174,80.30737704918033,2182.386,63505.4,5478.9,4467.621944444444,Pontevedra,Galicia,31,414
2017,14.733424657534247,10.073424657534247,75.97506849315069,876.696,65801.9,5681.1,4458.4927777777775,Pontevedra,Galicia,31,414
2018,14.524109589041096,10.56054794520548,79.46054794520548,1575.367,53165.1,4591.2,4458.488611111111,Pontevedra,Galicia,31,414
2019,14.343561643835615,10.071506849315067,77.83972602739726,1750.175,56152.0,4848.9,4458.488611111111,Pontevedra,Galicia,27,370
2020,14.978142076502733,10.96174863387978,78.94426229508197,1563.339,55079.3,4757.3,4467.612222222222,Pontevedra,Galicia,25,329
2021,14.508219178082191,10.442739726027398,78.56602739726027,1465.838,59542.3,5141.3,4458.483611111111,Pontevedra,Galicia,27,303
2022,15.577808219178081,11.305205479452054,77.86,1501.877,66189.0,5714.1,4458.480555555556,Pontevedra,Galicia,27,298
2002,13.996438356164383,9.890958904109588,77.66767123287671,1019.975,0.0,0.0,4460.255,Asturias,Asturias,0,0
2003,14.196438356164384,10.024657534246575,77.45780821917808,1002.767,0.0,0.0,4460.254444444445,Asturias,Asturias,0,0
2004,13.591803278688525,9.475409836065573,77.55874316939891,1071.762,0.0,0.0,4469.275277777778,Asturias,Asturias,0,0
2005,13.56821917808219,9.222191780821918,76.48493150684932,980.682,0.0,0.0,4460.2461111111115,Asturias,Asturias,0,0
2006,14.23095890410959,10.293698630136985,78.56164383561644,849.566,0.0,0.0,4460.2475,Asturias,Asturias,0,0
2007,13.501095890410959,9.732602739726028,79.24082191780822,881.224,0.0,0.0,4460.247777777778,Asturias,Asturias,0,0
2008,13.521311475409837,9.578415300546448,78.25710382513661,1210.663,0.0,0.0,4469.261666666666,Asturias,Asturias,0,0
2009,13.473424657534247,9.37972602739726,77.64630136986301,918.558,0.0,0.0,4460.2427777777775,Asturias,Asturias,0,0
2010,11.827945205479452,8.428493150684933,81.13643835616438,1144.383,65764.7,5684.8,4460.243611111111,Asturias,Asturias,0,0
2011,12.75972602739726,9.48054794520548,82.08739726027397,745.328,67020.4,5785.6,4460.242222222222,Asturias,Asturias,0,0
2012,12.097540983606557,8.378142076502732,79.83497267759563,903.169,67502.9,5827.0,4469.264166666667,Asturias,Asturias,0,0
2013,11.837534246575341,8.546027397260275,81.87041095890412,1337.5049999999999,64577.8,5575.7,4460.2375,Asturias,Asturias,0,0
2014,12.801917808219178,9.42,81.51452054794521,1054.052,66293.0,5723.9,4460.2375,Asturias,Asturias,0,0
2015,13.320273972602738,10.015342465753424,82.07643835616439,1039.581,60040.0,5182.9,4460.232777777778,Asturias,Asturias,0,0
2016,13.251912568306011,9.909289617486339,81.8983606557377,1042.666,59889.8,5168.9,4469.2555555555555,Asturias,Asturias,0,0
2017,13.325479452054795,9.888767123287671,81.61287671232877,815.054,61892.4,5343.7,4460.225277777778,Asturias,Asturias,0,0
2018,13.102465753424656,9.723561643835616,81.62465753424658,1295.624,47942.1,4136.4,4460.226111111111,Asturias,Asturias,0,0
2019,13.170410958904109,9.345205479452055,79.67013698630137,1291.252,51556.4,4448.6,4460.225833333333,Asturias,Asturias,0,0
2020,13.842896174863387,10.316120218579234,81.16994535519126,952.295,50988.9,4404.2,4469.246944444444,Asturias,Asturias,0,0
2021,13.013424657534246,9.583561643835617,81.64602739726027,1122.924,51749.0,4465.9,4460.218888888889,Asturias,Asturias,0,0
2022,14.031232876712327,10.271506849315069,80.03780821917807,986.389,53079.5,4581.9,4460.215833333334,Asturias,Asturias,0,6
2002,14.409863013698631,9.975342465753425,76.30986301369863,1055.119,0.0,0.0,4460.448888888889,Cantabria,Cantabria,0,21
2003,14.906849315068493,10.47068493150685,76.35369863013699,1080.689,0.0,0.0,4460.446111111111,Cantabria,Cantabria,0,21
2004,14.115300546448086,10.001639344262294,77.41693989071038,1092.13,0.0,0.0,4469.455833333333,Cantabria,Cantabria,0,22
2005,14.44904109589041,9.954246575342466,75.91287671232877,1026.372,0.0,0.0,4460.441666666667,Cantabria,Cantabria,0,22
2006,15.14931506849315,10.3,74.5095890410959,1050.924,0.0,0.0,4460.4425,Cantabria,Cantabria,0,22
2007,13.940000000000001,9.80958904109589,77.40273972602739,937.968,0.0,0.0,4460.441944444445,Cantabria,Cantabria,3,28
2008,13.989344262295083,9.998907103825136,78.15163934426229,1411.258,0.0,0.0,4469.4525,Cantabria,Cantabria,0,28
2009,14.415342465753426,10.124383561643835,76.71534246575342,1105.033,0.0,0.0,4460.434722222222,Cantabria,Cantabria,0,2
2010,13.19095890410959,9.025205479452055,77.47041095890411,1261.969,65400.1,5646.1,4460.433333333333,Cantabria,Cantabria,3,17
2011,14.016164383561643,10.244109589041095,79.64493150684932,777.551,66517.4,5744.0,4460.436944444445,Cantabria,Cantabria,3,17
2012,13.14398907103825,9.39016393442623,79.57459016393443,1038.7160000000001,65880.6,5686.1,4469.444444444444,Cantabria,Cantabria,3,17
2013,13.184931506849315,9.68027397260274,80.86109589041095,1255.592,63801.7,5509.9,4460.4336111111115,Cantabria,Cantabria,0,0
2014,14.297260273972602,10.343287671232877,78.89205479452055,1116.778,65739.1,5673.3,4460.4275,Cantabria,Cantabria,0,0
2015,14.872602739726027,10.71945205479452,77.69643835616438,1026.006,58544.7,5054.1,4460.427222222223,Cantabria,Cantabria,0,0
